Topic,Count,Name,Representation,Representative_Docs
-1,1617,-1_man_you_your_value,"['man', 'you', 'your', 'value', 'video', 'high', 'glow', 'male', 'alpha', 'woman']","['traits high value man fall love date psychology woman trait high value man fall love date psychology woman discover secret high value man fall certain woman video dive quality characteristic set woman apart irresistible man value confidence intelligence independence mindset attitude behavior action explore make woman attractive high value man you look improve your relationship simply want understand make high value man tick video you ready learn secret make high value man fall deeply love certain woman you can apply principle your life high value man don fall look chase try hard video break powerful trait woman naturally attract high value man base date psychology attachment theory real world relationship dynamic you learn confidence self worth matter chemistry mindset shift make man invest emotionally feminine energy show high value relationship difference anxious attachment secure attraction make woman unforgettable man option video woman want healthy secure relationship high value man lead invest commit stop chase start choose date advice root psychology game you tired situationship mixed signal low effort date will help you understand high value man actually choose woman embody trait attract secure intentional love subscribe date advice woman feminine energy insight relationship psychology help you protect your peace raise your standard personaldevelopment relationshipadvice feminineenergy howtobefeminine successfulwoman', 'date get hard you high value man visit date get hard you high value man date advice man video discuss challenge date you high value reality guy look high value man aware doesn easy listen discussion date high value man learn take date you man high value you can watch episode roommate podcast man high value status consider woman image start relationship make bit challenging you high value man stake high you can associate yourself woman you can somebody destruct you your purpose high value man you purpose you need find align you your purpose need aim higher easy road you choose healthy way high value man mean you ready relationship you need ready willing build successful relationship date will hard you will start devalue you place you high value man benefit have high value man high character man dependent your willingness reciprocate your high value man need date change time people will expect you willing work you need you high value man great sure you man high character strive your good certify life coach relationship coach date coach want dating relationship easy you pray you find video helpful you will receive wom', 'trait high value man instantly attract woman trait high value man instantly attract woman make man effortlessly attractive woman look charm trait set high value man apart video reveal key trait instantly draw woman notice confidence emotional intelligence strong sense purpose quality far surface level appeal high value man possess mindset habit attract woman inspire respect admiration area life discover trait like authenticity ambition emotional stability man irresistible break actionable tip develop characteristic unlock your potential high value individual want know truly captivate woman separate you crowd watch till end learn secret high value man you can embody trait start today make man high value high value man attract woman trait woman find irresistible can you develop quality video answer question don miss highvaluemen sigmamale highvalue recommend you watch brand new channel animate welcome high value man channel dedicate help man good version you will find informative video topic high value man alpha male date advice man build confidence trait high value man attract woman self development man believe man potential high value man goal help you unlock your potential thank watch hope you enjoy channel disclaimer link include description affiliate link you purchase product service link provide receive small commission additional']"
0,1387,0_you_man_your_video,"['you', 'man', 'your', 'video', 'male', 'high', 'value', 'tate', 'use', 'mindset']","['glow fast day transformation guide man want know glow day completely change your life video ultimate man glow transformation guide you step step look well clear skin build confidence look attractive improve hygiene fix your style upgrade your face body well man month guy think need year change appearance truth right glow routine man you can look like new person day inside video cover fix your skin fast sharp jawline well haircut whiten your tooth smell good day glow your body home gym eat clean glow skin dress well expensive clothe sleep well natural glow learn new skill self improvement build unstoppable confidence you search glow home look attractive girl look handsome glow teenager glow naturally high value day transformation guide you need end month you will look well clean sharp respected people will literally double you look your mindset your lifestyle your confidence follow male glow tutorial watch your skin clear your body tighten your style improve your aura magnetic you your self improvement journey want finally stop ignore start respect watch till end ultimate day glow challenge man will completely change your life', 'glow tip minute man should know video give you impactful glow tip completely change your face body style day aren fake hack simple healthy habit actually work focus small detail lead significant glow transformation integrate your daily routine you life change improvement your overall appearance confidence genuine self improvement glow tip minute man should know want transform your life boost confidence good version yourself video bring you powerful glow tip man can upgrade your mindset style health success minute you look improve your personality groom fitness discipline lifestyle prove tip will help you stand level fast look high value man confidence clarity purpose video you learn daily habit instantly improve your life grooming style tip man know confidence building technique actually work productivity discipline secret mindset shift success self improvement you self improvement glow transformation successful video you start your glow journey today unstoppable you work improve your confidence your style your appearance video you subscribe looksmaxxe self improvement glow content looksmaxxe glowup selfimprovementformen attractivehabit looksmaxxe glowup selfimprovementforman mensgroome handsometips maleattractiveness facecard jawline masculineaura glowuproutine attractivehabit confidenceformen mensstyle skincareforman evolverlab man believe attractiveness purely genetic actually cultivate daily habit guide reveal seven essential habit man back psychology', 'you mogger ready level your look boost your confidence isn your typical clickbait guide dive real science effective method looksmaxxe actually work resort extreme unsafe practice video break difference softmaxxe hardmaxxe give you clear actionable roadmap your personal transformation journey cover skincare secret simple daily routine can transform your skin power groom perfect haircut your face shape master your eyebrow fitness posture focused gym routine well posture can change your entire aesthetic your health stylemaxxe effortless tip dress well build versatile flattering wardrobe mewing method explain can realistic expectation you should mental maxxing self confidence positive mindset true game changer you start your glow you look optimization guide pack realistic science back advice stop chase quick fix start build sustainable lifestyle help you look feel your absolute good don miss like video you find tip helpful subscribe prove self improvement looksmaxxing content comment tell tip you try hashtag use looksmaxxe softmaxxe glowupguide selfimprovement mensgroome skincareroutine fitnessmotivation mew styletip confidenceboost aesthetic personaldevelopment attractiveness maleaesthetic tag use relevant looksmaxxing softmaxxe hardmaxxe looksmaxxe guide looksmax glow tip man aesthetic guide mewing tutorial jawline exercise facial symmetry skincare man well haircut man male grooming routine looksmaxxing transformation improve appearance maximize potential fitness looksmaxxe stylemaxxe self']"
1,531,1_looksmaxxe_short_glowup_skincare,"['looksmaxxe', 'short', 'glowup', 'skincare', 'glow', 'edit', 'routine', 'looksmaxxing', 'man', 'look']","['man attractive short looksmaxxe edit', 'man looksmaxxe tip tooth short glowup looksmaxxe look attractive instagram looksmaxxe', 'glow real looksmaxxe looksmaxxing short']"
2,286,2_alpha_male_book_value,"['alpha', 'male', 'book', 'value', 'high', 'man', 'date', 'check', 'clothing', 'podcast']","['penguinz bad alpha male compilation bad alpha male time pathetic alpha male program alpha male tik tok alpha podcast insecure alpha male weak man use bathroom embarrassing alpha male embarrassing alpha male bootcamp alpha male insult you', 'penguinz alpha male delusion meltdown compilation alpha male delusion meltdown time alpha male bootcamp sad alpha male tik tok embarrassing alpha male bootcamp pay alpha male coach insecure man tik tok embarrassing alpha male insecure alpha male cringe alpha male course woman alpha male insult you sigma male get weird guy pathetic alpha laugh hard pathetic alpha male program delusional creepy guy insecure podcast unhinged posture alpha male alpha male real alpha male motivational joker community alpha podcast', 'penguinz alpha male compilation great male time alpha male you interested timestamp pathetic alpha male program alpha male insult you embarrass alpha male bootcamp embarrassing alpha male alpha male tik tok alpha podcast insecure alpha male']"
3,270,3_mewing_mew_tutorial_exercise,"['mewing', 'mew', 'tutorial', 'exercise', 'tongue', 'jawline', 'posture', 'orthotropic', 'facial', 'medical']","['hard mewing step step hindi mew hard mewing step step hindi mewing mewing mewing result mew hindi mew hindi mewing hindi mewing tutorial mewing hindi mewing transformation mew hindi mewing explain hindi mewing mew hindi mewing beginner mew guide mew mewing exercise mewing mistake mew mewing technique mew mewing technique mewing tongue posture mew mewing exercice jawline mewing mewing mewing result mew tutorial mewing mew exercise jaw exercise jawline exercise mew exercice facial exercise mew guide mewing transformation mew exercise mew mistake mew beginner jawline exercise mewing app mew mewing technique mew excercise good mewing exercise mew exercise girl mewing tongue exercise mew technique mewing tongue posture cheekbone exercise', 'correct way mew mewing exercise correct way mew mewing mewing result mew tutorial mewing mewing guide mewing mistake mew transformation mewing app mewing technique mew beginner mew tongue posture correct mewing mew mewing exercise mew man mew mewing mew work mew correctly mew technique mewing exercice mewing exercise mew affect mew mew real mewing result mewing man mew mewing result mew tutorial mewing jaw exercise mew guide mewing mistake jawline exercise facial exercise mew app mewing exercise mew technique mew exercice mewing beginner jawline exercise mew transformation mewing exercise mew excercise good mewing exercise mew tongue exercise face exercise mew mewing tongue posture cheekbone exercise mewing exercise', 'mew step step hindi mewing exercise mew step step hindi follow instagram mewing mewing hindi mewing result mew hindi mewing tutorial mewing step step mew hindi mewing hindi mewing mewing transformation mew hindi mewing explain hindi mew hindi mewing beginner mew exercise sharp jawline mewing mew mew mewing mistake mew mewing tongue posture mewing exercice mewing guide mew mewing exercise mewing result mew tutorial mewing mewing transformation jaw exercise mew exercise jawline exercise mew exercice mew guide mewing beginner jawline exercise facial exercise mew mewing exercise girl mewing tongue exercise mew mistake mew app mew work mewing technique mewing tutorial beginner mew tongue posture mewing mewing']"
4,247,4_awalt_rain_music_gta,"['awalt', 'rain', 'music', 'gta', 'you', 'los', 'song', 'playlist', 'slow', 'official']","['gtav drive los santos sandy shore heavy rain thunderstorm gta sleep ambience gta rain ambience slow relaxing drive busy city los santos night heavy rain thunderstorm drive slowly city start franklin luxury penthouse vinewood hill grove street strawberry past vanilla unicorn club busy city night rain sound inside car pass pedestrian siren sound busy city night you relax drive time city drive highway sandy shore pass state prison make quick stop trevor trailer see site road gtav rain ambience drive heavy rain thunderstorm sound help sleep relaxation gta rain thunder ambience gtav gta rainsounds ambience sleep drive', 'hour los santos night drive gta heavy rain hour cozy gta night drive heavy rain sandy shore los santo fall asleep rain window soothe rain sound sleep settle map night journey grand theft auto cozy small car start sandy shore cruise grapeseed freeway wind los santos city night steady heavy rain thunder distance trevor wheel michael franklin lester ride talk sudden music immersive rain ambience soft car rain sound glow city light pass your window perfect sleep study relaxation background video comfort night long you cozy night drive ambience sandy shore los santo continuous heavy rain sound sleep rain car classic gta story mode crew ride hour uninterrupted gaming ambience deep sleep spec rtx super create content video capture modde edit rain thunder sound effect take mod add record video mod take free use mod nexus thank you modder you people awesome mod menyoo mute speech pain script hook you can support channel subscribe member relax video check playlist rdr gta elder scroll oblivion elder scroll skyrim elder scroll oblivion remastere cyberpunk fallout shenmue starfield hogwart legacy thank you stop channel peace good vibe you will you relax storm walk heavy rain thunderstorm sleep friend gtav rainambience rainsoundsforsleepe nightdrive heavyrain', 'hour trevor wade airtug drive gta rain sleep gtav steal airtug pour rain plan trevor wade stumble lab disappear hour rainy night drive los santo fall asleep heavy rain windshield deep engine hum distant thunder tiny airport tug take city hour gta rain ambience video sleep relaxation study background video calm jumpscare talk slow cinematic night drive wet city street neon reflection heavy rain sound night rest set your background video sleep let rain window sound cozy cab ride carry you night perfect fan video game ambience rain sound sleep long rainy night drive you enjoy trevor wade chaos night like subscribe los santos storm drive saturday drop your favorite rainy spot los santos comment will drive slow ride los santos release gta spec rtx super create content video capture modde edit rain thunder sound effect take mod add record video mod take free use mod nexus thank you modder you people awesome mod menyoo mute speech pain script hook you can support channel subscribe member relax video check playlist rdr gta elder scroll oblivion elder scroll skyrim elder scroll oblivion remastere cyberpunk fallout shenmue starfield hogwart legacy thank you stop channel peace good vibe you will you relax storm walk heavy rain thunderstorm sleep friend gtav rainsoundsforsleepe gta ambience rainonwindow sleepambience backgroundvideo']"
5,240,5_white_black_supremacy_racism,"['white', 'black', 'supremacy', 'racism', 'supremacist', 'history', 'hawk', 'connect', 'people', 'short']","['black supremacy black', 'white supremacy', 'white supremacy']"
6,180,6_groom_beard_barba_que,"['groom', 'beard', 'barba', 'que', 'mais', 'man', 'routine', 'care', 'selfcare', 'mensgroome']","['tipos barbas para homen descubra qual combina com você dicas moda masculina short shortsvideo tipos barbas para homen descubra qual combina com você dicas moda masculina você homem que adora cuidar aparência não pode deixar conferir este vídeo incrível nele vamos mostrar tipos barbas mais populares como escolher que mais combina com seu estilo desde clássica barba cheia até moderna barba por fazer você vai descobrir qual melhor opção para você além disso vamos dar dicas como cuidar barba para que ela fique sempre saudável bonita assista agora deixe sua barba perfeita moda masculina tem evoluído muito nos últimos anos hoje dia homen estão cada vez mais preocupado com aparência com cuidados pessoais para ajudá los nessa tarefa existem diversos acessórios masculinos que são indispensáveis para complementar visual deixá los ainda mais estilosos dentre cuidados masculinos mais importante estão cuidados com pele com barba para manter uma aparência saudável bonita importante investir produtos específicos para essas áreas como hidratante esfoliante óleos para barba além disso penteados masculino cabelo masculino geral também merecem atenção especial homen podem escolher entre diversos estilos cabelo desde mais clássicos até mais moderno para manter cabelo sempre bonito saudável fundamental utilizar produto qualidade como shampoos condicionadore específicos para tipo cabelo mas não cuidados com aparência que trata moda masculina acessórios masculinos também são fundamentais para complementar visual deixar homens ainda mais estilosos dentre acessórios masculinos mais populares podemos citar relógios masculino óculos sol masculino cinto masculino carteiras masculinas para quem gosta praticidade conforto tênis masculino também são uma ótima opção ele podem ser usado', 'manutenção uma barba lenhador casa como que faz pra cuidar uma barba grande estilo lenhador qual aquela rotina simple quer você tem que ter dia dia quando como aparar casa quais produtos legal ter sempre mão barba lenhador uma barba mais longa que você deixa crescer mais cheia região queixo ela pode ter formato mais redondo mais natural quadrado com ângulos mais retos diferente uma espartana que você precisa deixando queixo sempre mais pontudo barba lenhador relativamente simple você deixar crescer porque ela segue formato natural seu rosto que depois grande manutenção dela mais frequente pede pouco mais atenção quando aparar percebo que minha barba precisando uma manutenção quando lateral dela fica mais volumosa alguns pelos ficam mais visíveis pra fora careca ajuda também perceber isso porque fade que faço aqui até emendar com careca mas mesmo com cabelo fácil perceber esse crescimento volume pra laterais tamanho ideal pente marcas modelos diferente máquina podem ter algumas variações numeração pente por isso melhor que tentar saber tamanho pente usado por outras pessoas ideal você descobrir tamanho certo pra você com equipamento que você tem pra isso comece sempre pelo maior pente depois diminuindo aos poucos até chegar tamanho que você acha adequado tirando volume das laterais barba começo com pente número maior como ideia aqui tirar apena volume lateral não diminuir comprimento barba por isso importante ficar atento pra descer máquina sente rosto sem entrar abaixo maxilar flyover sem pente depois tirar volume lateral gosto tirar pente máquina zero sobrevoar fios maiore pra dar visual mais compacto barba você pode pentear barba ante para que fios que ainda estiverem maiores saltarem para fora ficarem mais fáceis serem', 'como cuidar bem uma barba curta isso que você precisa você não precisa todo arsenal produtos pra barba pra manter uma barba mais curta bem cuidada tem três que não deixaria faltar banheiro aqui explico por que como usar cada dele sua barba limpeza equilibrada pelo quando ainda está curto não costuma ficar tão ressecado que raiz cada fio tem uma glândula sebácea que responsável por produzir sebo que grosso modo hidratante natural que você produz que lubrifica pelos pelo curto beneficia mais dessa hidratação natural que pelo longo por isso quando maior barba mais ressecada ela fica então lavar rosto que tudo bem não bem assim maioria sabonete shampoo cabelo removem totalmente essa hidratação natural sua pele que acaba deixando ela mais seca que normal barba mesmo curta fica com uma aparência ressecada arranhando que shampoo barba tão importante mesmo pra quem tem barba curta ele feito pra limpar bem pele rosto sem remover hidratação natural dela assim você pode lavar barba todo dia sempre que quiser sem correr risco ela ficar ressecada até pele descamar que parece ser caspa barba use shampoo barba como sabonete facial que tudo bem pelos encravados outro problema comum barbas mais curtas são pelos encravados com uma barba curta você apara rosto com mais frequência aumenta chance pelo encravar tem vídeo antigo aqui canal com tudo que você precisa saber sobre pelos encravados barba melhore técnicas pra resolver esse problema mas pra você que com barba curta aqui querendo cuidar bem dela dica seguinte esfoliante rosto duas veze semana suficiente pra liberar poros pelo crescer sem encravar inflamar hidratação anti irritação coceira que considero maior problema barba curta coceira irritação pelo menos comigo foi assim tem uma fase']"
7,37,7_murad_merali_muradmeralibooking_gmail,"['murad', 'merali', 'muradmeralibooking', 'gmail', 'com', 'instagram', 'andrew', 'tate', 'book', 'omg']","['andrew tate new meltdown far instagram murad merali muradmeralibooking gmail com', 'andrew tate want die instagram murad merali muradmeralibooking gmail com', 'bad news andrew tate drop instagram murad merali muradmeralibooking gmail com']"
8,34,8_lake_tim_ford_bend,"['lake', 'tim', 'ford', 'bend', 'fan', 'awalt', 'house', 'susanbakerrealestate', 'susan', 'baker']","['awalt porch fan bend tim ford lake awalt porch fan bend tim ford lake video set your video resolution high setting good result house offer sale susan baker susanbakerrealestate gmail com', 'awalt upstairs bedroom fan bend tim ford lake awalt upstairs bedroom fan bend tim ford lake video set your video resolution high setting good result house offer sale susan baker susanbakerrealestate gmail com', 'awalt upstairs bedroom fan bend tim ford lake awalt upstairs bedroom fan bend tim ford lake video set your video resolution high setting good result house offer sale susan baker susanbakerrealestate gmail com']"
