Topic,Count,Name,Representation,Representative_Docs
-1,1162,-1_seu_você_pele_vídeo,"['seu', 'você', 'pele', 'vídeo', 'thiago', 'nigro', 'masculino', 'canal', 'homem', 'instagr']","['forçar glow extremo férias beleza cuidado truque beleza glow durante féria escolar olá menina vídeo hoje apresentar guia várias dica você glow seu féria escolar gastar ser várias dica beleza trazer resultado maravilhoso transformar seu pele pouco dia seu cabelo seu corpo vídeo contémr muito dica beleza econômico ajudar ficar bonito gastar dinheiro produto caro esperar gostar conteúdo autoral poste autorização agradeço você chegar seu presença total diferença canal alguém hoje deixar alguém feliz hoje deixar seu like inscrevo comentar você achar compartilhe alguém especial pra você ficar imensamente feliz importante ressaltar imagem vídeo utilizar conteúdo obter site banco imagem vídeo direito autoral direto youtube edição dublagem conteúdo autor lembrar maravilhosa vídeo canal fazer manualmente roteiro escrever edição narração voz imagem vídeo usar ilustrar momento vídeo banco imagem vídeo direito autoral escolher amor carinho agregar vídeo tbm tornar vídeo único interessante você assistir crédito imagem vídeo victeezyr pexels conteúdo poder seu interesse minuto introdução cuidar rosto esfoliação pele cuidar pele de ele esfoliação corporal depilação sobrancelha cuidado cabelo máscarar capilar arroz corte ponta cabelo Finalização pentear corte cabelo mude cor cabelo corpo saudável exercício físico massagem abdominal postura seu melho', 'rotino autocuidar masculino cuidar dia melhorar seu aparência querer melhorar seu aparência sentir confiante vídeo hoje mostrar rotina completo autocuidar masculino você cuidar pele cabelo barba prático eficaz você aprender cuidar pele evitar acne oleosidade dica essencial manter barba cuidado produto indispensável cabelo saudável hábito diário melhorar seu imagem autoestimar verdadeiro transformação começar detalhe dia dia você querer elevar seu visual passar imagem profissional atraente assistar deixar seu like comentar seu desafio autocuidar trocar ideia comentário', 'histórico rabino usar energia dinheiro thiago nigro você ficar rico verdade liberdade financeiro você achar dinheiro vilão vídeo virar seu mente ponta cabeça assisto contar errar pré venda livro homem comprar thiago nigro garantir seu ingresso trinca episódio caio carneiro hoje receber thiago nigro grande comunicador Brasil pra falar tema mundo achar entender dinheiro ser você entender episódio gente falar liberdade propósito espiritualidade sabotador existir mentalidade thiago compartilhar abertamente transformação viver começar primo rico falar ficar rico verdade perigo obsessão dinheiro ambição poder saudável acompanhar propósito discutir papel espiritualidade jornada financeiro erro comum enriquecer diferença poupador investidor abordar gente emocional distorcidar dinheiro atrapalhar seu liberdade thiago nigro revelar conceito trás seu livro homem comprar aprender dinheiro verdade ferramenta comprar precioso vida episódio profundo gravei você buscar liberdade financeiro equilíbrio ambição querer ajustar seu mentalidade pra prosperar verdade episódio pra você assistar entender conversa transformadora inscrevar canal ative notificação perder nenhum episódio encontrar thiago nigro instagr youtube facebook linkedin wikipedia sitar ouça compartilhe episódio rede social sigar caio instagr sigar cvfi instagr anuncier seu marca você pod']"
0,1317,0_breier_thiago_seu_você,"['breier', 'thiago', 'seu', 'você', 'nigro', 'gabriel', 'canal', 'instagr', 'vídeo', 'pra']","['Gabriel breier broxar shorts shorts breier Gabrielbreier Shortsfeed shortsbrasil Shortsyoutube shortvideo corte viralshort video youtubeshorts cortesdobreier método poderoso ensinar homem ser invisível aprenda tornar homem extremamente desejar disputar mulher simples metodologia clico link abaixo linkr método social pro ebook método social pro conjunto Books criar especialista arte viver vida você aprender inteligência social engenharia pessoal sedução persuasão página contar cara simples poder tornar mestre aproveitar vida haver bom em ele clico link abaixo', 'onda bilhão história thiago nigro primo rico documentário completo história primo rico livro investimento negócio te op Brasil disponível versão físico digital thiago nigro você dever conhecer ser seu milhão inscrito youtube milhão visualização milhão pessoa impactar gostar thiago nigro pessoa seu destaque história mercado financeiro brasileiro seu presença educador financeiro país mudar dinâmica mercado muito pessoa começar tirar dinheiro poupança investir verdade haver começar youtube pessoa estar cadastrado Bolsa valor hoje ultrapassar marca milhão acreditar querer influenciador impactar vida financeiro milhão brasileiro thiago nigro empresário sucedido país afirmar possuir visão igual documentário onda bilhão mostrar trajetória thiago nigro história amplamente conhecer você descobrir sucesso fracasso crítica polêmico erro recente poder custar milhão compor trajetória levar thiago nigro tornar primo rico cara conhecer Internet brasileiro influenciador Finanças mundo ser onda bilhão vídeo formato roteirizado técnico falar vida thiago nigro primo rico seu infância passar seu emprego seu empresa criação canal primo rico recentemente vídeo primo rico farsa entendo falar polêmica primo rico sentir necessidade vídeo completo contexto polêmica erro explicar', 'Gabriel breier estética natural shorts método poderoso ensinar homem ser invisível aprenda tornar homem extremamente desejar disputar mulher simples metodologia clico link abaixo linkr método social pro ebook método social pro conjunto Books criar especialista arte viver vida você aprender inteligência social engenharia pessoal sedução persuasão página contar cara simples poder tornar mestre aproveitar vida haver bom em ele clico link abaixo shorts breier Gabrielbreier Shortsfeed shortsbrasil Shortsyoutube shortvideo corte viralshort video youtubeshorts shape Fitness']"
1,650,1_barba_pele_masculino_seu,"['barba', 'pele', 'masculino', 'seu', 'cabelo', 'produto', 'você', 'cuidado', 'vídeo', 'dica']","['barba respeito produto homem dever diariamente descubra produto essencial barba homem dever diariamente conquistar barba perfazer vídeo revelar segredo barba saudável hidratar cheio estilo você conhecer bom shampoos barba balm hidratante óleo vegetal condicionador máscara hidratação transformar seu rotina cuidado aprenda escolher aplicar produto certos obter resultado incrível manter seu barba impecável você querer barba respeito vídeo você ser membro canal ganhe benefício esquecer clicar gostar mandar salver comentário compartilhar vídeo alguém precisar querer dica barba ligar em esse vídeo dica aplicar minoxidil barba motivo suplemento minoxidil compartilhe vídeo barba respeito produto homem dever diariamente', 'cuidado barba homem dever deixar seu barba bonito passo você cuidar seu barba você querer barba respeito bastar aparar creme barbear cuidado diário fundamental manter seu barba saudável bonito vídeo hoje edson castro dica cuidar seu barba falar vídeo hoje introdução lavar hidratação pentear aparar alimentação estilo vida conhecer barba produto você barba cuidado shampoo lavar barba balm hidrante barba pente madeira barba aparador elétrico barba livro barakat alimentação saudável barba precisar inspiração ligar em esse vídeo estilo barba tendência crescer barba verdade minoxidil barba fazer canal telegr tornar membro canal contribuir mhm checklist sair vídeo deixar comentário curtir compartilhe amigo sigar manual homem moderno rede social', 'cuidar pele rosto deixá bonito definir insta você querer melhorar seu aparência passar confiança destacar visual limpo atraente resposta skincare masculino complicado vídeo ensino rotina cuidado pele homem passo simples prático acessível ideal ano querer pele limpa bonito saudável falar limpeza facial esfoliação tônico hidratação protetor solar dica produto acessível Brasil sugestão caseiro você precisar começar hoje seu pele oleoso seca misturar normal vídeo ajudar montar seu skincare ideal masculino frescura gastar incluí dica natural truque rápido referência livro estudo filme motivar levar seu autocuidado sério você cuidar seu pele você cuidar seu imagem assisto descubra transformar seu pele pouco dia rotina fácil eficaz deixar comentário seu pele produto você usar inscrevar canal ative sininho conteúdo autoestima masculino desenvolvimento pessoal estilo vida tags skincare masculino cuidado pele masculino rotino skincare masculino skincare homem cuidar pele rosto homem pele oleoso homem pele seco homem produto skincare masculino skincare barato rotina facial masculino pele bonito homem Glow masculino skincare fácil homem dica beleza masculino cuidado rosto homem hashtags skincaremasculinar Glowupmasculino belezamasculina cuidadoscomarosto pelebonitahomir skincarebrasil skincareparahomem homembemcuidar skincaresimples rotinadeskincaremasculino']"
2,197,2_homem_cuidar_cuidado_masculino,"['homem', 'cuidar', 'cuidado', 'masculino', 'saúde', 'autocuidar', 'autocuidado', 'dever', 'produto', 'seu']","['cuidado homem dever principal cuidado você precisar preciso qualidade vida vídeo hoje edson castro dica cuidado homem precisar compre seu roupa insider desconto usar cupom mhm clique precisar dica melhorar seu vida ligar em esse vídeo cuidado higiene homem dever destrói autoestima homem coisa seu pai ensinar cuidado corpo homem dever falar vídeo introdução cuidado saúde físico cuidado alimentação cuidado sono cuidado saúde mental cuidado relação pessoal cuidado dinheiro fazer canal telegr tornar membro canal contribuir mhm manualdohomemmoderno checklist sair vídeo deixar comentário curtir compartilhe amigo sigar manual homem moderno rede social', 'rotino cuidado masculino dia dia Glow masculino rotina cuidado masculino homem dever cuidado básico gente dever cuidar vídeo hoje edson castro lista série cuidado masculino dia dia confiro querer dica Glow masculino ligar em esse vídeo dica glow masculino homem cheiroso homem interessante dica rotina cuidado masculino introdução cuidar começo dia cuidar durante cuidado durante noite cuidado pessoal dia dia fazer canal telegr ser membro canal ganhe benefício gostar vídeo deixar seu comentário compartilhe amigo sigar rede', 'cuidado pessoal masculino homem dever glow masculino cuidado pessoal masculino homem dever cuidado pessoal homem dever manter cuidar aparência video hoje edson castro lista cuidado pessoal masculino gomem dever lista cuidado pessoal masculino citamos vídeo introdução cuidar pele cuidar dente cuidar cabelo barba cuidado unha cuidado seu toalha roupa cuidado seu cuidado seu cheiro criar seu ritual beleza inscrevar podcast spotify usar cupom ednafut futfanatics usar cupom genetico growth fazer canal telegr ser membro canal ganhe benefício gostar vídeo deixar seu comentário compartilhe amigo sigar rede']"
3,159,3_cafecomteupai_ofimdaficar_relacionamento_amulherqueeleassumer,"['cafecomteupai', 'ofimdaficar', 'relacionamento', 'amulherqueeleassumer', 'cafecomdeuspai', 'cafécomdeuspai', 'café', 'mulher', 'teu', 'pai']","['video completo canal cafecomteupai relacionamento cafecomdeuspai ofimdaficar amulherqueeleassumer', 'ano cafecomteupai relacionamento ofimdaficar amulherqueeleassumer', 'mulher conquistar homem cafecomteupai relacionamento cafecomdeuspai ofimdaficar amulherqueeleassumer']"
4,58,4_voce_lendário_passo_ser,"['voce', 'lendário', 'passo', 'ser', 'vida', 'prosperar', 'resolvar', 'guiar', 'merecer', 'conhecimento']","['chegar mulher praia inscrevar lendário aprenda passo passo você ser completo iniciante ter nenhum conhecimento rede social dinheiro mentalidade você ser guiar construir riqueza prosperar conquistar vida voce merecer voce resolvar seu problema ficar rico', 'dia completo comigo vida inscrever lendário aprenda passo passo você ser completo iniciante ter nenhum conhecimento rede social dinheiro mentalidade você ser guiar construir riqueza prosperar conquistar vida voce merecer voce resolvar seu problema ficar rico', 'Gabriel breier vivo inscrevar lendário aprenda passo passo você ser completo iniciante ter nenhum conhecimento rede social dinheiro mentalidade você ser guiar construir riqueza prosperar conquistar vida voce merecer voce resolvar seu problema ficar rico']"
5,57,5_red_inscrevar_linkr_aluno,"['red', 'inscrevar', 'linkr', 'aluno', 'cast', 'comunidade', 'news', 'exclusivo', 'livro', 'milhão']","['concurso público rico acer site hashtag treinamento linkr comunidade exclusivo aluno linkr livro link milhão mande reels vídeo inscrevar raiam reage inscrevar red cast inscrevar red news', 'onda negócio pra acer site hashtag treinamento linkr comunidade exclusivo aluno linkr livro link milhão mande reels vídeo inscrevar raiam reage inscrevar red cast inscrevar red news', 'cuidado mina errar acer site hashtag treinamento linkr comunidade exclusivo aluno linkr livro link milhão mande reels vídeo inscrevar raiam reage inscrevar red cast inscrevar red news']"
6,39,6_chuva_rio_atingir_tempestade,"['chuva', 'rio', 'atingir', 'tempestade', 'marginal', 'forte', 'tietê', 'alagamento', 'cidade', 'leste']","['chuva forte asfalto ceder rio lama viral tsunami chuva viralshort', 'chuva rio sul nuvir engole cidade gaúcho dia vira noite vídeo time lapse mostrar avanço tempestade atingir caxia sul rio Sul manhã sábado dia primavera escurecer município plena manhã iluminação público precisar acesa vídeo compartilhar rede social empresa meteorologia Metsul mostrar nuvem prateleira aproximar engolir cidade serra gaúcha imagem gravadas time lapse técnico permitir exibição evento espaço Metsul nuvem cumulonimbus poder atingir altura quilômetro denso bloque luz sol ler sigar previsão Brasil site estadão twitter maxpetry', 'rio tietê atingir crítico água invade trecho marginal Paulo shorts rio tietê transbordar manhã sábado invadir trecho pista marginal tietê altura saída rodovia ayrton senna região Tatuapé zona leste Paulo crítico provocar forte chuva atingir capital cheia deixar marginal alerta alagamento lentidão trânsito autoridade orientar motorista pedestr evitar área próximo rio previsão instabilidade sábado domingo reprodução instagr itaqueraunido myhoodbr sãopaulo chuva transito marginal marginaltiete alagamento shorts']"
7,25,7_dormir_chuva_som_sono,"['dormir', 'chuva', 'som', 'sono', 'relaxante', 'barulho', 'trovão', 'asmr', 'relaxar', 'sabor']","['megar tempestade som chuva forte raio trovão dormir Asmr rain sounds sleeping megar tempestade som chuva forte raio trovão dormir Asmr rain sounds sleeping você poder ajustar volume aumentar diminuir intensidade chuva increvo canal vídeo curtido canal som chuva dormir barulho chuva relaxante floresta enevoar trovão som chuva trovoar barraca dormir mente relaxante sono profur Asmr som chuva janela dormir ruído branco ajudar dormir asmr dormir barulho chuva trovoar som chuva dormir relaxar bastar ouvir minuto sono profur imediatamente som chuva trovoar telhado som chuva telhado sono profundo barulho chuva trovoar dormir relaxar barulho chuva trovoar dormir profundamente imediatamente som chuva floresta natureza relaxante vídeo canal proteger direito autoral proibir cópia reprodução uso parcial respeite direito autoral proprietário desfrute vídeo relaxante lista reprodução canal barulhodechuva chuvaparadormir somdechuva asmrchuva tags barulho chuva chuva dormir som chuva chuva barulho chuva dormir som chuva dormir som chuva dormir chuva trovoar dormir asmr chuva som dormir som chuva barulho dormir rain sounds som dormir som chuva lluviar som chuva trovão dormir rain sounds sleeping musica dormir chuva trovoar dormir dormir', 'barulho chuva dormir profundamente som chuva vento trovoar noite rain sounds chuva dormir profundamente relaxar imediatamente som chuva torrencial vento trovo noite dormir imediatamente vencer insônia rain sounds Sleeping and relaxing thunder sounds nature white noise sleepr and relaxation stress Relief remove insomnia Healing anxietyr chuva relaxante dormir som meditação chuva telhado antigo dormir profundamente rápido minuto cura sintomo distúrbio sono causar ansiedade pensamento excessivo barulho chuva trovão noite experimente zuar chuva vila enevoada pacífico projetar ajudá adormecer rapidamente obter sono alto qualidade som asmr natural ideal dormir meditar estudar simplesmente relaxar superir estresse insônia suave ruído branco chuva estresse dormir instantaneamente minuto barulho chuva forte trovoar noite chuva relaxante sono profur ioga superação insônia som chuva meditação curar corpo mental emocional aliviar estresse ruído natural branco profur estudo asmr relaxamento trabalho som real trovoada dormir relaxar resolver distúrbio sono reduzir estresse adormecer alívio insônia som natureza bom chuva dormir você poder ajustar volume aumentar diminuir intensidade chuva increvo canal vídeo curtido canal som chuva dormir barulho chuva relaxante floresta enevoar trovão som chuva trovoar barraca dormir mente relaxante sono profur Asmr som chuva janela dormir ruído branco ajudar dormir asmr som chuva dormir relaxar barulho chuva forte trovão telhado noite som chuva forte perfeita dormir profundamente relaxar barulho chuva trovão megar tempestade som chuva', 'barulho chuva dormir profundamente som chuva trovão noite nature White noise chuva dormir rápido profundamente som chuva forte vento trovo noite dormir relaxar imediatamente vencer insônia terapiar natural asmr sono recuperação energia rain sounds Sleeping and relaxing thunder sounds nature white noise sleepr and relaxation stress Relief eliminate Insomnia Healing anxiety som relaxante chuva trovão superar estresse curar seu mente sintar poder cura chuva paisagem sonoro chuva forte trovão acalmar seu mente corpo alma ideal meditação relaxamento estudo sono profur vídeo ruído branco dormir ajudar você superar estresse sono alto qualidade ruir branco profundo natural estudo asmr relaxamento trabalho som real trovoada dormir relaxar resolver distúrbio sono reduzir estresse adormecer alívio insônia som natureza bom barulho chuva dormir você poder ajustar volume aumentar diminuir intensidade chuva increvo canal vídeo curtido canal som chuva dormir barulho chuva relaxante floresta enevoar trovão som chuva trovoar barraca dormir mente relaxante sono profur Asmr som chuva janela dormir ruído branco ajudar dormir asmr som chuva dormir relaxar barulho chuva forte trovão telhado noite som chuva forte perfeita dormir profundamente relaxar barulho chuva trovão megar tempestade som chuva forte raio trovão dormir Asmr rain sounds sleeping barulho chuva pacífico fazenda pântano dormir chuva trovoada thunderstorr sounds som real chuva folhagem barulho chuva raio trovão dormir rain sounds natureza relaxante vídeo canal proteger direito autoral proibir cópia reprodução uso']"
8,23,8_reborn_bebê_bebereborn_reborndoll,"['reborn', 'bebê', 'bebereborn', 'reborndoll', 'rebornbaby', 'boneca', 'silicone', 'siliconebaby', 'rotinareborn', 'coto']","['pequeno rotina bebê reborn Kaike diariodeamorreborn bebereborn rotinareborn realborn diariodeamorreborn Link relacionar rebornbaby dolls Doll realisticbabydoll rotinareborn reborndoll routinereborn realborn', 'rotino manhã bebê reborn', 'nascer bebê reborn silicone nascer hoje informação ver whatsapp arte reborn original pró conceito reborn girls prinavarreter bebereborn meninasestiloso rebornhobby reborndoll bonecareborn viral euquefiz pro conceito original artistlife girl birthdaygirl girlstyle pink luxury Luxurylifestyle silicone siliconebabydoll siliconemolds pri navarrete artista reborn bebezinho parecer verdade parecer vídeo contémr abordagem lúdico destinar idade ser vinr gostar deixar seu comentário seu opinião importante inscrevo ative sininho notificação deixar seu like saber amar receber seu comentário reborn presente bebereborn prinavarreter rebornbaby menina coisademenino silicone siliconesoler siliconebaby doll reborndoll caso querer adquirir bebezinho realista fazer contato envio Brasil exterior whatsapp caso querer informação efetuar encomenda instagr pri navarrete tiktok prinavarretereborn facebook mail navarrete priscila gmail visite site disposição dúvida informação trabalho ver whatsapp arte reborn original pró conceito reborn obradearte prinavarreter bebereborn meninasestiloso rebornhobby reborndoll bonecareborn viral euquefiz pro conceito original artistlife girl birthdaygirl girlstyle pink luxury Luxurylifestyle siliconebaby siliconedoll silicone']"
